date,title,achievement_id
2015-09-02T18:48:34.000000,Rockethead,22779
2015-09-03T21:42:50.000000,Infinite Oxygen,22798
2015-09-04T09:59:04.000000,Atlantis Explorer,22794
2015-09-04T22:18:08.000000,Ol' Yell'r,22777
2015-09-05T11:48:07.000000,Aced That Space,22793
2015-09-05T18:08:38.000000,More than Hangin',22816
2015-09-05T22:44:18.000000,Run Ruined,22820
2015-09-05T23:43:32.000000,Raced in Space,22824
2015-09-06T10:51:31.000000,Atlantean Speeder,22827
2015-09-06T15:48:08.000000,Outflying the Cops,22834
2015-09-08T19:28:25.000000,A Screw Loose,7915
2015-09-12T17:36:24.000000,Area-2,20067
2015-09-12T22:34:40.000000,I is for Icky Iggy,2253
2015-09-12T22:35:31.000000,I Believe I Can Fly,4874
2015-09-13T10:32:28.000000,Morton Enough,347
2015-09-19T11:02:41.000000,A defensive strategy,26023
2015-09-19T11:02:45.000000,A moment of panic,26024
2015-09-19T21:33:07.000000,It used to be a missile...,25976
2015-09-20T17:09:14.000000,Arid Brotherhood,26149
2015-10-18T11:18:49.000000,Another Kind of Flying,2251
2015-11-20T12:13:47.000000,A False Moon,29665
2016-01-29T20:55:27.000000,Rooftops,18218
2016-01-29T21:33:04.000000,Alleyway,18219
2016-02-07T18:03:34.000000,More of a secret then my identitiy,18217
2016-02-15T21:24:45.000000,I'm Counting on You!,10516
2016-02-21T18:03:25.000000,Amateur Collector,2
2016-02-24T18:59:59.000000,Acid Blast,15518
2016-02-24T19:01:31.000000,Ice Ray,15519
2016-02-24T19:03:13.000000,Megu Cannon,15521
2016-03-02T16:59:14.000000,Ooo....fireworks!,13020
2016-03-02T23:37:49.000000,More fireworks!,13021
2016-03-04T02:55:16.000000,"Mario, in Africa? What?",13374
2016-03-04T19:34:15.000000,Rocket Well,5934
2016-03-04T23:07:37.000000,Milk Maid,5639
2016-03-05T02:01:28.000000,Iron Maiden,5642
2016-03-05T02:23:56.000000,Rocket Rage,5946
2016-03-05T02:27:48.000000,Old Man Winters,5643
2016-03-05T02:44:17.000000,Rocket Radio,5947
2016-03-05T15:02:43.000000,Aromatherapist,5648
2016-03-05T15:34:29.000000,Rock Hard Defense,5645
2016-03-05T15:46:28.000000,One Time Champ,5652
2016-03-06T01:57:49.000000,Master of Storms,5952
2016-03-06T14:58:17.000000,I Choose You!,33592
2016-03-06T20:59:51.000000,Always Plodding Behind!,33594
2016-03-06T23:14:04.000000,All Unown,5955
2016-03-07T22:29:53.000000,Make Them Faint!,33596
2016-03-08T12:54:17.000000,Rigged Slots,33599
2016-03-09T17:09:57.000000,A Warm-Up!,33598
2016-03-11T10:27:44.000000,Resort Gorgeous,33628
2016-03-11T12:34:06.000000,Molten,33620
2016-04-01T22:57:34.000000,Increased Strength,16540
2016-04-01T23:25:26.000000,A Balanced Deck,16544
2016-04-03T09:53:13.000000,Insect Swarm,16547
2016-04-06T17:40:39.000000,All-Out Attack,16552
2016-04-06T17:40:40.000000,Mechanical Mayhem,16551
2016-04-08T15:58:48.000000,Mass Tribute,16554
2016-04-09T00:26:25.000000,Masquerade,16556
2016-04-09T09:32:09.000000,Ruby Yugi Expansion,16576
2016-04-09T10:16:52.000000,Onyx Yugi Expansion,16577
